"Location","Year","Kilometers_Driven","Fuel_Type","Transmission","Owner_Type","Mileage","Engine","Power","Seats","Price","Brand","Model"
"Coimbatore","2014","70374","Diesel","Manual","First","22.7","1498","89.84","5","7.34","Ford","Ecosport"
"Kolkata","2015","26256","Diesel","Manual","First","20.14","1498","88.5","5","4.25","Volkswagen","CrossPolo"
"Delhi","2016","13460","Petrol","Manual","First","18.6","1197","81.86","5","6.45","Hyundai","Elite"
"Chennai","2011","122000","Diesel","Manual","Second","12.8","2494","102","8","10.75","Toyota","Innova"
"Kolkata","2015","58589","Diesel","Automatic","First","15.26","2143","203.2","5","27.75","Mercedes-Benz","M-Class"
"Jaipur","2005","115000","Petrol","Manual","Second","17.3","1061","64","5","0.99","Maruti","Wagon"
"Pune","2016","75000","Diesel","Automatic","First","12.62","2198","158","7","24","Ford","Endeavour"
"Jaipur","2016","30292","Petrol","Manual","First","18.6","1197","81.86","5","6.1","Hyundai","Elite"
"Ahmedabad","2017","32248","Petrol","Manual","First","17.5","1199","88.7","5","8.25","Honda","WRV"
"Bangalore","2013","74000","Petrol","Manual","First","16.47","1198","73.9","5","4.65","Volkswagen","Polo"
"Mumbai","2014","56100","Petrol","Manual","First","13.7","1997","153.86","5","9.75","Honda","CR-V"
"Bangalore","2014","61325","Petrol","Manual","First","18.9","1197","81.86","5","4.4","Hyundai","Grand"
"Kolkata","2014","33000","Petrol","Manual","First","19.1","1197","85.8","5","3.99","Maruti","Swift"
"Coimbatore","2016","18090","Diesel","Automatic","First","16.2","2993","258","5","45.73","BMW","5"
"Kochi","2014","71390","Diesel","Manual","First","22.7","1498","89.84","5","5.27","Ford","Ecosport"
"Mumbai","2014","41000","CNG","Manual","First","26.2","998","58.2","5","3.5","Maruti","Wagon"
"Ahmedabad","2016","67000","Diesel","Manual","First","26","1498","98.6","5","7.25","Honda","City"
"Chennai","2008","99000","Diesel","Manual","Second","17","1405","70","5","1.6","Tata","Indigo"
"Pune","2014","142000","Diesel","Manual","Second","19.01","1461","108.45","5","6","Renault","Duster"
"Chennai","2010","26966","Petrol","Manual","First","20.36","1197","78.9","5","3","Hyundai","i10"
"Mumbai","2015","27628","Petrol","Manual","First","18.7","1199","88.7","5","4.95","Honda","Jazz"
"Hyderabad","2016","82497","Diesel","Manual","First","23.65","1248","88.5","5","8.99","Maruti","SX4"
"Mumbai","2007","86000","Petrol","Manual","Third","11.9","2354","144","5","1.85","Honda","Accord"
"Coimbatore","2016","26981","Petrol","Manual","First","16.47","1198","73.9","5","6.16","Volkswagen","Polo"
"Hyderabad","2010","110471","Diesel","Manual","First","21.1","1248","73.9","5","3.5","Maruti","Ritz"
"Jaipur","2014","69000","Petrol","Manual","First","19.5","1199","88.76","5","4.5","Honda","Amaze"
"Hyderabad","2017","12000","Petrol","Manual","First","18.6","1197","81.83","5","7.75","Hyundai","i20"
"Hyderabad","2014","77500","Diesel","Manual","First","20.45","1461","83.8","5","6.6","Renault","Duster"
"Kochi","2014","48031","Petrol","Manual","First","18.9","1197","82","5","4.98","Hyundai","Grand"
"Chennai","2008","170000","Diesel","Automatic","Third","16.07","1995","181","5","9.75","BMW","3"
"Mumbai","2014","69565","Diesel","Manual","First","22.7","1498","89.84","5","5.55","Ford","Ecosport"
"Hyderabad","2016","45492","Diesel","Automatic","First","21.5","1498","108.5","5","10.3","Volkswagen","Vento"
"Chennai","2011","85000","Petrol","Automatic","Second","11.7","2354","177.6","5","7.5","Honda","Accord"
"Hyderabad","2008","55902","Petrol","Manual","First","14.49","1399","92.7","5","1.8","Chevrolet","Aveo"
"Hyderabad","2017","18500","Petrol","Manual","First","16.2","1199","74","5","6.25","Volkswagen","Polo"
"Hyderabad","2015","129750","Diesel","Manual","Second","14.95","2489","93.7","7","6.8","Mahindra","Xylo"
"Hyderabad","2009","50902","Petrol","Automatic","First","19.2","1197","80","5","3","Hyundai","i10"
"Coimbatore","2015","84725","Diesel","Manual","First","15.1","2179","140","7","11.6","Mahindra","XUV500"
"Mumbai","2013","40000","Diesel","Manual","Second","22.7","1582","126.24","5","6.95","Hyundai","Elantra"
"Mumbai","2010","60000","Petrol","Manual","Third","14.3","1798","160","5","3.5","Volkswagen","Passat"
"Coimbatore","2014","33496","Petrol","Manual","First","18.9","1197","81.86","5","5.5","Hyundai","Grand"
"Mumbai","2015","25000","Petrol","Manual","First","18.6","1197","81.83","5","5.65","Hyundai","i20"
"Ahmedabad","2013","71000","Diesel","Manual","First","18.2","1248","73.8","8","3.25","Chevrolet","Enjoy"
"Coimbatore","2015","20826","Petrol","Automatic","First","14.3","1598","103.6","5","7.72","Skoda","Rapid"
"Pune","2016","42244","Diesel","Manual","First","19.67","1582","126.2","5","12","Hyundai","Creta"
"Jaipur","2013","98598","Diesel","Manual","First","25.44","936","57.6","5","1.55","Chevrolet","Beat"
"Delhi","2011","62100","Diesel","Manual","First","11.5","2982","171","7","10.75","Toyota","Fortuner"
"Coimbatore","2016","44238","Petrol","Manual","First","18.6","1197","81.83","5","6.72","Hyundai","i20"
"Coimbatore","2012","91743","Diesel","Automatic","First","12.07","2967","241.4","7","28.55","Audi","Q7"
"Bangalore","2013","19828","Diesel","Automatic","Second","17.85","2967","300","4","75","Porsche","Panamera"
"Hyderabad","2016","36891","Petrol","Manual","First","17.8","1497","117.3","5","10.49","Honda","City"
"Hyderabad","2012","90049","Diesel","Manual","First","17.21","1493","100","7","3.8","Mahindra","Quanto"
"Ahmedabad","2012","74002","Diesel","Automatic","First","16.55","1968","140","5","18.5","Audi","A4"
"Kolkata","2013","41000","Petrol","Automatic","First","12.37","2359","198.25","5","6","Hyundai","Sonata"
"Hyderabad","2012","83678","Diesel","Manual","First","22.32","1582","126.32","5","5.5","Hyundai","Verna"
"Pune","2010","91000","Petrol","Manual","First","18.9","998","67.1","5","2.3","Maruti","Wagon"
"Jaipur","2016","50000","Diesel","Manual","First","24.52","1248","88.5","7","8.7","Maruti","Ertiga"
"Delhi","2015","58000","Diesel","Manual","First","24.4","1120","71.01","5","4.95","Hyundai","Xcent"
"Jaipur","2012","80000","Diesel","Manual","First","22.9","1248","74","5","4.25","Maruti","Swift"
"Kochi","2017","41290","Diesel","Manual","Second","16","2179","140","7","10.94","Mahindra","XUV500"
"Delhi","2013","65000","Diesel","Automatic","First","22.48","1995","190","5","21.26","BMW","5"
"Bangalore","2016","16471","Petrol","Manual","Second","14.28","1798","138.03","5","11.5","Toyota","Corolla"
"Pune","2015","54339","Diesel","Manual","Second","22.54","1396","88.73","5","6","Hyundai","i20"
"Hyderabad","2016","24025","Petrol","Manual","First","18.15","1198","82","6","4.1","Mahindra","KUV"
"Kolkata","2013","24027","Petrol","Manual","First","24.7","796","47.3","5","2.01","Maruti","Alto"
"Hyderabad","2010","59270","Petrol","Manual","First","15.7","1172","67","5","2.6","Fiat","Punto"
"Kolkata","2012","40000","Petrol","Manual","First","18.9","998","67.1","5","2.35","Maruti","Wagon"
"Bangalore","2012","155566","Diesel","Manual","Second","9.5","2835","118.6","6","9.15","Mitsubishi","Pajero"
"Chennai","2013","42320","Petrol","Manual","First","19.4","1198","86.8","5","2.9","Honda","Brio"
"Coimbatore","2017","24153","Diesel","Manual","Second","22.54","1396","88.73","5","9.18","Hyundai","i20"
"Mumbai","2016","27000","Petrol","Automatic","First","13","1591","121.3","5","11.45","Hyundai","Creta"
"Hyderabad","2012","92000","CNG","Manual","Second","26.83","796","38.4","5","2.1","Maruti","Alto"
"Kochi","2017","61795","Petrol","Manual","First","17.8","1198","86.7","5","5.53","Honda","Amaze"
"Chennai","2016","13500","Petrol","Manual","First","18.15","1198","82","6","3.75","Mahindra","KUV"
"Pune","2018","4500","Petrol","Automatic","First","18","1497","117.3","5","12.5","Honda","City"
"Mumbai","2017","23000","Diesel","Automatic","First","16","2179","140","7","15.5","Mahindra","XUV500"
"Mumbai","2013","80578","Diesel","Automatic","Second","14.84","2143","170","5","14.5","Mercedes-Benz","New"
"Coimbatore","2017","42646","Diesel","Automatic","First","19.6","1461","108.45","5","12.46","Renault","Duster"
"Bangalore","2014","30000","Petrol","Manual","Second","16.47","1198","74","5","5.25","Volkswagen","Polo"
"Bangalore","2009","98000","Diesel","Automatic","Second","13.5","2987","282","5","25","Mercedes-Benz","S"
"Hyderabad","2012","50000","Diesel","Automatic","First","12.9","2993","271.23","4","45","Jaguar","XJ"
"Jaipur","2015","63310","Diesel","Manual","First","28.4","1248","74","5","5.1","Maruti","Swift"
"Delhi","2014","66000","Diesel","Manual","First","25.8","1498","98.6","5","3.5","Honda","Amaze"
"Ahmedabad","2011","74000","Diesel","Automatic","Second","16.07","1995","181","5","12.5","BMW","3"
"Hyderabad","2012","93000","Diesel","Manual","First","23.5","1396","88.7","5","5.55","Hyundai","Verna"
"Delhi","2015","70000","Diesel","Automatic","First","11.5","2982","169","7","19.48","Toyota","Fortuner"
"Ahmedabad","2012","48772","Petrol","Manual","First","18.6","1197","85.8","5","3.91","Maruti","Swift"
"Chennai","2010","66000","Petrol","Manual","First","18.6","1199","79.4","5","2.19","Chevrolet","Beat"
"Coimbatore","2017","27417","Petrol","Automatic","First","18.9","1197","82","5","6.89","Hyundai","Grand"
"Coimbatore","2011","51593","Petrol","Manual","Second","15.6","1196","70","5","3.47","Ford","Figo"
"Pune","2010","75000","Petrol","Manual","First","16.1","1298","88.2","5","2.85","Maruti","Swift"
"Coimbatore","2016","39237","Diesel","Automatic","First","17.11","1968","174.33","5","25.64","Audi","A4"
"Kochi","2018","11966","Petrol","Manual","First","16.8","1497","116.3","5","10.28","Honda","City"
"Hyderabad","2015","37000","Petrol","Manual","First","18.2","1199","88.7","5","6.3","Honda","Jazz"
"Chennai","2014","70920","Diesel","Manual","First","20.14","1498","88.8","5","4.75","Volkswagen","Polo"
"Hyderabad","2013","65280","Diesel","Manual","First","19.87","1461","83.14","5","5.8","Nissan","Terrano"
"Hyderabad","2016","62000","Diesel","Automatic","First","12.51","2179","187.7","7","44.5","Land","Rover"
"Kochi","2014","44525","Petrol","Manual","First","18.5","1197","82.9","5","4.65","Hyundai","i20"
"Jaipur","2009","86863","Petrol","Manual","First","17","1497","118","5","3.6","Honda","City"
"Hyderabad","2015","102626","Diesel","Manual","First","16","2179","140","7","12.25","Mahindra","XUV500"
"Jaipur","2017","45000","Diesel","Manual","First","16.3","1956","170","5","20","Jeep","Compass"
"Jaipur","2017","22000","Diesel","Manual","First","16","2179","140","7","16","Mahindra","XUV500"
"Coimbatore","2011","108905","Diesel","Automatic","Second","11.79","2179","120","8","6.21","Mahindra","Scorpio"
"Kolkata","2016","12800","Petrol","Manual","First","19.44","1198","67","7","3.25","Datsun","GO"
"Kolkata","2016","32000","Diesel","Manual","First","15.4","2179","120","7","9.75","Mahindra","Scorpio"
"Mumbai","2014","39000","Petrol","Automatic","First","15.5","1198","86.7","5","4.45","Honda","Amaze"
"Pune","2017","42000","Diesel","Manual","First","25.6","1498","98.6","5","12","Honda","City"
"Chennai","2008","73000","Petrol","Manual","First","14.4","1396","65","5","0.8","Tata","Indigo"
"Chennai","2018","48000","Diesel","Manual","First","24","1186","73.97","5","5.95","Hyundai","Grand"
"Pune","2015","18000","CNG","Manual","First","33.44","796","40.3","4","3","Maruti","Alto"
"Kolkata","2014","19000","Petrol","Manual","First","17.43","1396","105.5","5","5.25","Hyundai","Verna"
"Coimbatore","2019","33598","Diesel","Manual","First","13.68","2393","147.8","7","22.2","Toyota","Innova"
"Jaipur","2012","63000","Diesel","Automatic","First","17.05","1995","184","5","13.5","BMW","X1"
"Chennai","2015","48000","Diesel","Automatic","First","16.96","1968","138.03","5","13.5","Volkswagen","Jetta"
"Delhi","2014","66000","Diesel","Manual","First","20","1399","68.05","5","3.47","Ford","Figo"
"Ahmedabad","2013","80000","Diesel","Automatic","Second","11.18","2696","184","7","9.5","Mahindra","Ssangyong"
"Chennai","2011","37000","Petrol","Manual","First","15.04","1598","103.6","5","4.8","Volkswagen","Vento"
"Kochi","2016","35058","Petrol","Manual","First","15","1598","103.52","5","6.54","Skoda","Rapid"
"Delhi","2012","52000","Petrol","Manual","First","16.47","1198","73.9","5","3.1","Volkswagen","Polo"
"Hyderabad","2015","61313","Diesel","Manual","First","23.65","1248","88.5","5","7.99","Maruti","S"
"Kolkata","2009","45000","Petrol","Manual","Second","14.53","1798","138.1","5","3.3","Toyota","Corolla"
"Bangalore","2015","74000","Diesel","Manual","First","20.77","1248","88.8","7","8.75","Maruti","Ertiga"
"Hyderabad","2013","89000","Petrol","Automatic","First","19.2","1197","80","5","4.19","Hyundai","i10"
"Kochi","2019","13414","Diesel","Automatic","First","17.9","2143","136","5","30.77","Mercedes-Benz","CLA"
"Jaipur","2006","95000","Petrol","Manual","Second","16.9","1497","100","5","2.11","Honda","City"
"Jaipur","2018","15900","Petrol","Manual","First","18.15","1198","82","6","6.25","Mahindra","KUV"
"Delhi","2011","151000","Diesel","Manual","First","11.5","2982","171","7","11.4","Toyota","Fortuner"
"Bangalore","2011","65000","Petrol","Manual","First","17","1497","118","5","5.2","Honda","City"
"Coimbatore","2017","36824","Diesel","Automatic","First","18.53","1968","187.74","5","39.84","Audi","A6"
"Coimbatore","2013","65287","Diesel","Manual","First","20","1399","68.05","5","4.45","Ford","Figo"
"Kolkata","2014","52000","Diesel","Automatic","First","17.9","2143","136","5","19.5","Mercedes-Benz","GLA"
"Hyderabad","2007","33000","Petrol","Manual","First","15.26","1150","74.9","5","1.75","Chevrolet","Aveo"
"Hyderabad","2016","71000","Diesel","Manual","First","25.83","1498","99","5","5.1","Ford","Figo"
"Delhi","2013","71000","Diesel","Automatic","First","22.7","1582","126.2","5","6.8","Hyundai","Elantra"
"Kolkata","2016","20000","Petrol","Automatic","First","21.4","1197","83.1","5","5.74","Maruti","Baleno"
"Hyderabad","2010","71000","Petrol","Manual","First","16.1","1197","85","5","3.3","Maruti","Swift"
"Hyderabad","2010","29000","Diesel","Automatic","First","9.9","3498","271.72","4","32","Mercedes-Benz","CLS-Class"
"Ahmedabad","2016","27000","Diesel","Automatic","First","21.76","1995","190","5","35","BMW","3"
"Chennai","2017","19000","Diesel","Automatic","First","28.4","1248","73.75","5","8.9","Maruti","Dzire"
"Mumbai","2011","58000","Petrol","Manual","Second","17.01","1591","121.3","5","4","Hyundai","Verna"
"Kochi","2018","42203","Diesel","Manual","First","17.1","1956","170","5","19.46","Jeep","Compass"
"Hyderabad","2009","94000","Diesel","Automatic","First","11.4","1991","142","5","5.25","Hyundai","Sonata"
"Delhi","2013","52000","CNG","Manual","Second","15.1","1196","73","5","2.6","Maruti","Eeco"
"Kolkata","2018","4900","Diesel","Manual","First","21.5","1497","108.5","5","9.22","Tata","Nexon"
"Jaipur","2013","70000","Petrol","Manual","First","21.1","814","55.2","5","1.8","Hyundai","EON"
"Kochi","2015","65266","Diesel","Automatic","First","14.69","2993","258","5","31.75","BMW","5"
"Delhi","2014","54569","Diesel","Manual","First","20.77","1248","88.76","7","5.99","Maruti","Ertiga"
"Kochi","2015","51361","Petrol","Manual","First","18","1198","86.7","5","4.94","Honda","Amaze"
"Jaipur","2007","125000","Petrol","Manual","Third","16.6","1388","68","5","1.5","Ford","Fiesta"
"Bangalore","2008","66000","Petrol","Manual","Third","13.5","1799","130","5","3.25","Honda","Civic"
"Hyderabad","2007","65047","LPG","Manual","First","17.3","1061","57.5","5","1.95","Maruti","Wagon"
"Delhi","2014","22281","Diesel","Manual","First","20.77","1248","88.8","7","6.5","Maruti","Ertiga"
"Delhi","2013","63210","Diesel","Manual","First","24","1120","70","5","3.71","Hyundai","Grand"
"Pune","2018","31000","Petrol","Manual","First","20.14","1197","81.86","5","5","Hyundai","Xcent"
"Ahmedabad","2008","60000","Petrol","Manual","First","19.81","1086","68.05","5","1.99","Hyundai","i10"
"Mumbai","2017","32006","Petrol","Manual","First","18","1198","86.7","5","4.25","Honda","Amaze"
"Ahmedabad","2009","78000","Diesel","Automatic","First","12.4","2698","179.5","5","8","Audi","A6"
"Mumbai","2011","9489","Petrol","Manual","First","20.36","1197","78.9","5","2.95","Hyundai","i10"
"Pune","2018","5000","Petrol","Manual","First","25.17","799","53.3","5","3.5","Renault","KWID"
"Jaipur","2012","60000","Diesel","Automatic","Second","15.2","1968","140.8","5","16","Audi","A4"
"Jaipur","2015","50000","Petrol","Manual","First","22.74","796","47.3","5","2.75","Maruti","Alto"
"Delhi","2015","53000","Petrol","Manual","First","17.8","1497","117.3","5","6.95","Honda","City"
"Delhi","2011","64000","Petrol","Automatic","Second","11.74","1796","186","5","12.5","Mercedes-Benz","New"
"Coimbatore","2017","43827","Diesel","Automatic","First","13.22","2967","241.4","5","36.83","Audi","Q5"
"Pune","2011","36431","Petrol","Manual","First","16.2","1199","74","5","2.7","Volkswagen","Polo"
"Mumbai","2017","35000","Diesel","Manual","First","21.38","1396","88.7","5","9.9","Hyundai","Creta"
"Kochi","2011","94832","Petrol","Manual","First","17","1497","118","5","3.83","Honda","City"
"Coimbatore","2012","88381","Petrol","Manual","First","17","1497","118","5","5.25","Honda","City"
"Kolkata","2016","45194","Diesel","Manual","First","22.7","1598","118","5","7.75","Maruti","S"
"Mumbai","2010","66000","Petrol","Manual","Second","16.51","1586","103.2","5","2.46","Maruti","SX4"
"Kolkata","2014","38578","Diesel","Manual","First","23.4","1248","74","5","3.96","Maruti","Swift"
"Chennai","2015","40000","Diesel","Manual","First","20.77","1248","88.8","7","8.25","Maruti","Ertiga"
"Coimbatore","2018","20632","Petrol","Manual","First","18.6","1197","81.83","5","7.58","Hyundai","i20"
"Hyderabad","2014","73042","Diesel","Manual","First","24","1120","70","5","3.99","Hyundai","Grand"
"Delhi","2014","54257","Petrol","Manual","First","17.4","1497","117.3","5","6.25","Honda","City"
"Hyderabad","2013","93000","Diesel","Manual","First","20.5","1598","103.5","5","5","Skoda","Rapid"
"Hyderabad","2005","102000","Diesel","Automatic","Second","11","2987","198.5","5","4.65","Mercedes-Benz","E-Class"
"Coimbatore","2016","28881","Diesel","Automatic","First","13.01","2199","194.3","7","21.37","Hyundai","Santa"
"Hyderabad","2007","52195","Petrol","Manual","First","19.7","796","46.3","5","1.75","Maruti","Alto"
"Coimbatore","2018","20422","Diesel","Manual","First","12.4","2499","134","5","16.09","ISUZU","D-MAX"
"Kolkata","2012","38000","Diesel","Manual","First","24.8","1396","88.7","5","4.1","Hyundai","Verna"
"Coimbatore","2015","92885","Diesel","Manual","First","20","1399","68","5","3.56","Ford","Figo"
"Pune","2010","43000","Petrol","Manual","Second","17","1497","118","5","4.21","Honda","City"
"Delhi","2015","57000","Diesel","Manual","First","23.9","1582","126.2","5","6.6","Hyundai","Verna"
"Coimbatore","2018","32434","Petrol","Automatic","First","13","1591","121.3","5","14.35","Hyundai","Creta"
"Hyderabad","2017","32000","Diesel","Manual","First","22.7","1498","89.84","5","9.5","Ford","Ecosport"
"Delhi","2011","59000","Diesel","Automatic","First","11.2","2993","241","4","21.9","BMW","X6"
"Coimbatore","2016","76467","Diesel","Automatic","First","18.12","1995","190","5","30.45","BMW","5"
"Hyderabad","2016","100000","Diesel","Manual","First","25.83","1498","99","5","5.1","Ford","Figo"
"Pune","2013","37086","Petrol","Automatic","First","17","1591","121.3","5","5.44","Hyundai","Verna"
"Jaipur","2010","135000","Diesel","Manual","First","13.8","1399","68","5","1.6","Ford","Ikon"
"Kochi","2014","54862","Diesel","Automatic","First","17.68","1968","174.33","5","16.67","Audi","A6"
"Pune","2012","56200","Petrol","Automatic","First","15","1396","98.6","5","3.85","Hyundai","i20"
"Kochi","2011","169006","Diesel","Manual","First","14.24","2755","174.5","7","10.64","Toyota","Fortuner"
"Bangalore","2016","20229","Petrol","Manual","First","25.17","799","53.3","5","3.5","Renault","KWID"
"Chennai","2008","62000","Petrol","Manual","Third","18","995","62","5","1.1","Chevrolet","Spark"
"Hyderabad","2011","51500","Petrol","Manual","Second","16.2","1599","103.2","5","2.6","Hyundai","Verna"
"Hyderabad","2012","69000","Diesel","Automatic","First","18.88","1995","184","5","18.5","BMW","3"
"Hyderabad","2015","62476","Diesel","Manual","First","26.59","1248","74","5","7.95","Maruti","Swift"
"Jaipur","2017","60500","Diesel","Manual","First","25.4","1186","73.97","5","5.49","Hyundai","Xcent"
"Mumbai","2017","17978","Petrol","Automatic","First","19","1199","88.7","5","6.95","Honda","Jazz"
"Jaipur","2008","300000","Diesel","Manual","First","17","1405","70","5","1","Tata","Indigo"
"Chennai","2013","123000","Diesel","Manual","Second","17.8","1399","67","5","4.45","Ford","Fiesta"
"Kolkata","2016","45296","Diesel","Manual","First","25.1","1248","88.5","5","6.99","Maruti","S-Cross"
"Coimbatore","2008","77325","Petrol","Manual","First","15.6","1586","104.68","5","3.51","Maruti","SX4"
"Kochi","2018","25858","Petrol","Automatic","First","21.4","1197","83.1","5","7.54","Maruti","Baleno"
"Bangalore","2016","120000","Diesel","Manual","First","23.2","1248","73.94","5","3.65","Maruti","Ritz"
"Ahmedabad","2016","22000","Diesel","Automatic","First","19.5","1582","126.24","5","16","Hyundai","Elantra"
"Kolkata","2012","11000","Petrol","Manual","First","16.2","995","62.1","5","1.4","Chevrolet","Spark"
"Mumbai","2017","3900","Petrol","Manual","First","18.6","1197","81.83","5","6.45","Hyundai","i20"
"Hyderabad","2016","106092","Diesel","Manual","First","24.4","1120","71","5","4.4","Hyundai","Xcent"
"Delhi","2015","27000","Petrol","Automatic","First","19","1199","88.7","5","5.95","Honda","Jazz"
"Ahmedabad","2013","11000","Petrol","Manual","First","19.4","1198","86.8","5","3.9","Honda","Brio"
"Coimbatore","2016","39753","Diesel","Automatic","First","13","2143","201.1","5","35.28","Mercedes-Benz","E-Class"
"Pune","2017","39800","Diesel","Manual","First","17.6","2179","153.86","7","14.25","Tata","Hexa"
"Pune","2017","73000","Diesel","Manual","First","24.4","1120","71","5","4.5","Hyundai","Xcent"
"Pune","2015","55000","Diesel","Manual","First","22.7","1498","89.84","5","7.5","Ford","Ecosport"
"Coimbatore","2017","18351","Petrol","Automatic","First","21.9","624","37.48","4","3.41","Tata","Nano"
"Pune","2013","45000","Petrol","Manual","Second","19.4","1198","86.8","5","3.25","Honda","Brio"
"Hyderabad","2016","112200","Diesel","Manual","First","24.52","1248","88.5","7","8.3","Maruti","Ertiga"
"Bangalore","2010","29000","Petrol","Manual","First","20.36","1197","78.9","5","3.45","Hyundai","i10"
"Mumbai","2015","53392","Diesel","Manual","First","16","2179","140","7","11.95","Mahindra","XUV500"
"Hyderabad","2010","71000","Diesel","Manual","First","20.54","1598","103.6","5","4.25","Volkswagen","Vento"
"Hyderabad","2014","93000","Diesel","Manual","First","14","2179","138.1","7","8.25","Tata","Safari"
"Hyderabad","2010","119000","Petrol","Manual","First","10.2","2354","180","5","5.95","Honda","Accord"
"Coimbatore","2016","42225","Petrol","Manual","First","15.1","1196","73","7","4.3","Maruti","Eeco"
"Ahmedabad","2012","65000","Diesel","Manual","First","22.9","1248","74","5","3.9","Maruti","Swift"
"Pune","2016","27809","Petrol","Automatic","First","21.4","1197","83.1","5","6.41","Maruti","Baleno"
"Coimbatore","2015","65100","Diesel","Manual","First","15.1","2179","140","7","8.36","Mahindra","XUV500"
"Chennai","2014","51000","Petrol","Manual","First","19.1","1197","82","5","3.85","Hyundai","Xcent"
"Hyderabad","2017","10000","Diesel","Automatic","First","19.27","2143","167.62","5","36","Mercedes-Benz","New"
"Kolkata","2011","54895","Petrol","Manual","First","13.14","1798","160","5","7.5","Skoda","Superb"
"Hyderabad","2015","80768","Diesel","Manual","First","20.14","1498","88.73","5","5.7","Volkswagen","CrossPolo"
"Kochi","2019","12076","Petrol","Manual","First","20.89","1197","81.8","5","5.5","Maruti","Ignis"
"Chennai","2016","49000","Diesel","Manual","First","25.2","1248","74","5","5.9","Maruti","Swift"
"Mumbai","2015","42366","Petrol","Manual","First","17.8","1497","117.3","5","7.75","Honda","City"
"Ahmedabad","2010","68000","Diesel","Automatic","First","11.5","2993","235","5","18","BMW","5"
"Hyderabad","2008","122397","Diesel","Manual","First","17.5","1896","106","5","4.4","Skoda","Laura"
"Coimbatore","2017","50534","Petrol","Automatic","First","17.21","1197","103.5","5","8.27","Volkswagen","Polo"
"Ahmedabad","2014","55300","Diesel","Manual","First","19.87","1461","83.8","5","4.75","Renault","Duster"
"Hyderabad","2008","73095","Petrol","Automatic","First","16.8","1497","118","5","3.8","Honda","City"
"Ahmedabad","2011","51100","Diesel","Manual","First","20.54","1598","103.6","5","3.4","Volkswagen","Vento"
"Pune","2016","13436","Petrol","Manual","Second","18.9","1197","82","5","4.7","Hyundai","Grand"
"Pune","2008","76000","Petrol","Manual","Second","16.6","1388","68","5","1.49","Ford","Fiesta"
"Mumbai","2016","63141","Diesel","Manual","Second","24.4","1120","71","5","4.5","Hyundai","Xcent"
"Hyderabad","2014","74885","Diesel","Manual","First","25.8","1498","98.6","5","5.4","Honda","Amaze"
"Hyderabad","2016","14000","Petrol","Automatic","First","18","1497","117.3","5","11.5","Honda","City"
"Pune","2012","56000","Diesel","Manual","Second","20.4","1461","108.5","5","3.5","Renault","Fluence"
"Ahmedabad","2010","46000","Diesel","Automatic","First","22.48","1995","190","5","16.5","BMW","5"
"Mumbai","2012","51800","Petrol","Manual","First","15.5","1586","103.3","5","3.9","Maruti","SX4"
"Hyderabad","2007","81000","Petrol","Automatic","First","16.4","1497","78","5","3.25","Honda","City"
"Kochi","2018","17370","Petrol","Manual","First","17","1198","73.75","5","5.84","Volkswagen","Ameo"
"Hyderabad","2016","18456","Petrol","Manual","First","17","1198","73.75","5","5.75","Volkswagen","Ameo"
"Delhi","2010","59000","Diesel","Automatic","First","16.55","1968","140","5","10","Audi","A4"
"Mumbai","2006","141537","Petrol","Manual","Second","18.9","998","67.1","5","1.05","Maruti","Wagon"
"Delhi","2013","51000","Diesel","Automatic","First","19.08","1582","126.32","5","5.64","Hyundai","Verna"
"Coimbatore","2019","29311","Diesel","Automatic","First","17.9","2143","170","5","50.97","Mercedes-Benz","GLC"
"Mumbai","2016","31000","Diesel","Automatic","First","21.76","1995","190","5","29.95","BMW","3"
"Mumbai","2014","80000","Diesel","Manual","Second","24.2","1498","98.6","7","4.85","Honda","Mobilio"
"Hyderabad","2016","33000","Diesel","Automatic","First","17.01","1582","126.2","5","14.5","Hyundai","Creta"
"Hyderabad","2011","71556","Petrol","Manual","First","17","1497","118","5","5.5","Honda","City"
"Bangalore","2011","85000","Diesel","Manual","First","17.8","1399","68","5","3.2","Ford","Fiesta"
"Chennai","2016","91000","Diesel","Manual","First","26.59","1248","74","5","4.5","Maruti","Swift"
"Coimbatore","2015","73187","Diesel","Automatic","First","13","2143","204","5","30.72","Mercedes-Benz","E-Class"
"Jaipur","2009","232000","Diesel","Manual","First","11.5","1991","147.9","7","3.5","Chevrolet","Captiva"
"Bangalore","2007","127079","Diesel","Manual","First","12.8","2494","102","7","6.99","Toyota","Innova"
"Kochi","2014","58816","Diesel","Manual","First","17.21","1493","100","7","3.45","Mahindra","Quanto"
"Kochi","2015","63818","Petrol","Manual","First","17.4","1497","117.3","5","6.57","Honda","City"
"Kolkata","2014","40000","Diesel","Automatic","First","17.11","1968","174.33","5","17.5","Audi","A4"
"Delhi","2013","77445","Diesel","Manual","First","22.07","1199","73.9","5","3.75","Volkswagen","Polo"
"Pune","2017","14000","Petrol","Automatic","First","14.8","1497","121.36","5","9.99","Ford","EcoSport"
"Kolkata","2012","85122","Diesel","Manual","First","12.99","2494","100","7","8.2","Toyota","Innova"
"Jaipur","2005","123000","Petrol","Manual","Third","13","1493","100","5","1.1","Honda","City"
"Kochi","2015","61000","CNG","Manual","First","22.1","1586","85.7","5","3.89","Maruti","SX4"
"Chennai","2015","63714","Petrol","Manual","First","24.7","796","47.3","5","2.45","Maruti","Alto"
